ID,Kode SKPD,Nama SKPD
 101000000010000, 1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN
 102000000010000, 1.02.0.00.0.00.01.0000,DINAS KESEHATAN
 103000000100000, 1.03.0.00.0.00.10.0000,DINAS PEKERJAAN UMUM BINA MARGA
 103000000110000, 1.03.0.00.0.00.11.0000,DINAS PEKERJAAN UMUM SUMBERDAYA AIR
 103104210030000, 1.03.1.04.2.10.03.0000,"DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN CIPTA KARYA"
 105000000010000, 1.05.0.00.0.00.01.0000,SATUAN POLISI PAMONG PRAJA
 105000000040000, 1.05.0.00.0.00.04.0000,BADAN PENANGGULANGAN BENCANA DAERAH
 106000000010000, 1.06.0.00.0.00.01.0000,DINAS SOSIAL
 207332000020000, 2.07.3.32.0.00.02.0000,DINAS TENAGA KERJA DAN TRANSMIGRASI
 208214212050000, 2.08.2.14.2.12.05.0000,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, DAN KEPENDUDUKAN"
 209327000020000, 2.09.3.27.0.00.02.0000,DINAS PERTANIAN DAN KETAHANAN PANGAN
 211000000010000, 2.11.0.00.0.00.01.0000,DINAS LINGKUNGAN HIDUP
 213000000010000, 2.13.0.00.0.00.01.0000,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA
 215000000010000, 2.15.0.00.0.00.01.0000,DINAS PERHUBUNGAN
 216220221040000, 2.16.2.20.2.21.04.0000,DINAS KOMUNIKASI DAN INFORMATIKA
 217000000010000, 2.17.0.00.0.00.01.0000,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH"
 218000000010000, 2.18.0.00.0.00.01.0000,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU
 219000000010000, 2.19.0.00.0.00.01.0000,DINAS KEPEMUDAAN DAN OLAHRAGA
 222326000030000, 2.22.3.26.0.00.03.0000,DINAS KEBUDAYAAN DAN PARIWISATA
 223224000020000, 2.23.2.24.0.00.02.0000,DINAS PERPUSTAKAAN DAN KEARSIPAN
 325000000010000, 3.25.0.00.0.00.01.0000,DINAS KELAUTAN DAN PERIKANAN
 327000000060000, 3.27.0.00.0.00.06.0000,DINAS PERKEBUNAN
 327000000080000, 3.27.0.00.0.00.08.0000,DINAS PETERNAKAN
 328000000010000, 3.28.0.00.0.00.01.0000,DINAS KEHUTANAN
 329000000010000, 3.29.0.00.0.00.01.0000,DINAS ENERGI DAN SUMBERDAYA MINERAL
 331330000020000, 3.31.3.30.0.00.02.0000,DINAS PERINDUSTRIAN DAN PERDAGANGAN
 401000000010000, 4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH
 402000000010000, 4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD
 501000000010000, 5.01.0.00.0.00.01.0000,BADAN PERENCANAAN PEMBANGUNAN DAERAH
 502000000020000, 5.02.0.00.0.00.02.0000,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH
 502000000030000, 5.02.0.00.0.00.03.0000,BADAN PENDAPATAN DAERAH
 503000000010000, 5.03.0.00.0.00.01.0000,BADAN KEPEGAWAIAN DAERAH
 504000000010000, 5.04.0.00.0.00.01.0000,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA
 505000000010000, 5.05.0.00.0.00.01.0000,BADAN RISET DAN INOVASI DAERAH
 507000000010000, 5.07.0.00.0.00.01.0000,BADAN PENGHUBUNG DAERAH PROVINSI
 507000000020000, 5.07.0.00.0.00.02.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR I MADIUN
 507000000030000, 5.07.0.00.0.00.03.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR II BOJONEGORO
 507000000040000, 5.07.0.00.0.00.04.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR III MALANG
 507000000050000, 5.07.0.00.0.00.05.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR IV PAMEKASAN
 507000000060000, 5.07.0.00.0.00.06.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR V JEMBER
 601000000010000, 6.01.0.00.0.00.01.0000,INSPEKTORAT
 801000000010000, 8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK
